"TG-GATEs","dose","dose_unit","time","time_unit","parameter","parameter_type","value","value_unit","outcome","source"
"phenytoin",60,"mg/kg",4,"day","Kidneys","Weight",0.98,"Relative weight",0,"TG-GATEs"
"phenytoin",200,"mg/kg",4,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"phenytoin",600,"mg/kg",4,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"promethazine",20,"mg/kg",4,"day","Kidneys","Weight",1,"Relative weight",0,"TG-GATEs"
"promethazine",60,"mg/kg",4,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"promethazine",200,"mg/kg",4,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"propranolol",15,"mg/kg",4,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"propranolol",50,"mg/kg",4,"day","Kidneys","Weight",0.88,"Relative weight",0,"TG-GATEs"
"propranolol",150,"mg/kg",4,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"propylthiouracil",10,"mg/kg",4,"day","Kidneys","Weight",0.95,"Relative weight",0,"TG-GATEs"
"propylthiouracil",30,"mg/kg",4,"day","Kidneys","Weight",0.94,"Relative weight",0,"TG-GATEs"
"propylthiouracil",100,"mg/kg",4,"day","Kidneys","Weight",0.95,"Relative weight",0,"TG-GATEs"
"quinidine",20,"mg/kg",4,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"quinidine",60,"mg/kg",4,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"quinidine",200,"mg/kg",4,"day","Kidneys","Weight",0.98,"Relative weight",0,"TG-GATEs"
"ranitidine",100,"mg/kg",4,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"ranitidine",300,"mg/kg",4,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"ranitidine",1000,"mg/kg",4,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"rifampicin",20,"mg/kg",4,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"rifampicin",60,"mg/kg",4,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"rifampicin",200,"mg/kg",4,"day","Kidneys","Weight",0.96,"Relative weight",0,"TG-GATEs"
"rosiglitazone maleate",2,"mg/kg",4,"day","Kidneys","Weight",0.33,"Relative weight",1,"TG-GATEs"
"rosiglitazone maleate",20,"mg/kg",4,"day","Kidneys","Weight",0.29,"Relative weight",1,"TG-GATEs"
"rosiglitazone maleate",100,"mg/kg",4,"day","Kidneys","Weight",0.31,"Relative weight",1,"TG-GATEs"
"simvastatin",40,"mg/kg",4,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"simvastatin",120,"mg/kg",4,"day","Kidneys","Weight",0.98,"Relative weight",0,"TG-GATEs"
"simvastatin",400,"mg/kg",4,"day","Kidneys","Weight",0.88,"Relative weight",0,"TG-GATEs"
"sulfasalazine",100,"mg/kg",4,"day","Kidneys","Weight",0.88,"Relative weight",0,"TG-GATEs"
"sulfasalazine",300,"mg/kg",4,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"sulfasalazine",1000,"mg/kg",4,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"sulindac",5,"mg/kg",4,"day","Kidneys","Weight",0.87,"Relative weight",0,"TG-GATEs"
"sulindac",15,"mg/kg",4,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"sulindac",50,"mg/kg",4,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"sulpiride",100,"mg/kg",4,"day","Kidneys","Weight",0.95,"Relative weight",0,"TG-GATEs"
"sulpiride",300,"mg/kg",4,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"sulpiride",1000,"mg/kg",4,"day","Kidneys","Weight",0.94,"Relative weight",0,"TG-GATEs"
"tacrine",3,"mg/kg",4,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"tacrine",10,"mg/kg",4,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"tacrine",30,"mg/kg",4,"day","Kidneys","Weight",0.95,"Relative weight",0,"TG-GATEs"
"tamoxifen",6,"mg/kg",4,"day","Kidneys","Weight",0.94,"Relative weight",0,"TG-GATEs"
"tamoxifen",20,"mg/kg",4,"day","Kidneys","Weight",1.02,"Relative weight",0,"TG-GATEs"
"tamoxifen",60,"mg/kg",4,"day","Kidneys","Weight",1,"Relative weight",0,"TG-GATEs"
"tannic acid",100,"mg/kg",4,"day","Kidneys","Weight",0.98,"Relative weight",0,"TG-GATEs"
"tannic acid",300,"mg/kg",4,"day","Kidneys","Weight",1,"Relative weight",0,"TG-GATEs"
"tannic acid",1000,"mg/kg",4,"day","Kidneys","Weight",0.95,"Relative weight",0,"TG-GATEs"
"terbinafine",75,"mg/kg",4,"day","Kidneys","Weight",0.99,"Relative weight",0,"TG-GATEs"
"terbinafine",250,"mg/kg",4,"day","Kidneys","Weight",1.01,"Relative weight",0,"TG-GATEs"
"terbinafine",750,"mg/kg",4,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"tetracycline",100,"mg/kg",4,"day","Kidneys","Weight",1,"Relative weight",0,"TG-GATEs"
"tetracycline",300,"mg/kg",4,"day","Kidneys","Weight",0.96,"Relative weight",0,"TG-GATEs"
"tetracycline",1000,"mg/kg",4,"day","Kidneys","Weight",0.98,"Relative weight",0,"TG-GATEs"
"thioacetamide",5,"mg/kg",4,"day","Kidneys","Weight",0.98,"Relative weight",0,"TG-GATEs"
"thioacetamide",15,"mg/kg",4,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"thioacetamide",45,"mg/kg",4,"day","Kidneys","Weight",1.03,"Relative weight",1,"TG-GATEs"
"thioridazine",10,"mg/kg",4,"day","Kidneys","Weight",1.03,"Relative weight",1,"TG-GATEs"
"thioridazine",30,"mg/kg",4,"day","Kidneys","Weight",0.96,"Relative weight",0,"TG-GATEs"
"thioridazine",100,"mg/kg",4,"day","Kidneys","Weight",0.95,"Relative weight",0,"TG-GATEs"
"ticlopidine",30,"mg/kg",4,"day","Kidneys","Weight",0.95,"Relative weight",0,"TG-GATEs"
"ticlopidine",100,"mg/kg",4,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"ticlopidine",300,"mg/kg",4,"day","Kidneys","Weight",0.97,"Relative weight",0,"TG-GATEs"
"tiopronin",100,"mg/kg",4,"day","Kidneys","Weight",0.95,"Relative weight",0,"TG-GATEs"
"tiopronin",300,"mg/kg",4,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"tiopronin",1000,"mg/kg",4,"day","Kidneys","Weight",1.02,"Relative weight",0,"TG-GATEs"
"tolbutamide",100,"mg/kg",4,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"tolbutamide",300,"mg/kg",4,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"tolbutamide",1000,"mg/kg",4,"day","Kidneys","Weight",0.96,"Relative weight",0,"TG-GATEs"
"triamterene",15,"mg/kg",4,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"triamterene",50,"mg/kg",4,"day","Kidneys","Weight",0.96,"Relative weight",0,"TG-GATEs"
"triamterene",150,"mg/kg",4,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"triazolam",100,"mg/kg",4,"day","Kidneys","Weight",0.98,"Relative weight",0,"TG-GATEs"
"triazolam",300,"mg/kg",4,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"triazolam",1000,"mg/kg",4,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"trimethadione",50,"mg/kg",4,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"trimethadione",150,"mg/kg",4,"day","Kidneys","Weight",0.86,"Relative weight",0,"TG-GATEs"
"trimethadione",500,"mg/kg",4,"day","Kidneys","Weight",0.94,"Relative weight",0,"TG-GATEs"
"valproic acid",45,"mg/kg",4,"day","Kidneys","Weight",0.94,"Relative weight",0,"TG-GATEs"
"valproic acid",150,"mg/kg",4,"day","Kidneys","Weight",0.97,"Relative weight",0,"TG-GATEs"
"valproic acid",450,"mg/kg",4,"day","Kidneys","Weight",0.98,"Relative weight",0,"TG-GATEs"
"vitamin A",10,"mg/kg",4,"day","Kidneys","Weight",0.96,"Relative weight",0,"TG-GATEs"
"vitamin A",30,"mg/kg",4,"day","Kidneys","Weight",0.88,"Relative weight",0,"TG-GATEs"
"vitamin A",100,"mg/kg",4,"day","Kidneys","Weight",0.99,"Relative weight",0,"TG-GATEs"
"WY-14643",10,"mg/kg",1,"day","Kidneys","Weight",0.94,"Relative weight",0,"TG-GATEs"
"WY-14643",30,"mg/kg",1,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"WY-14643",100,"mg/kg",1,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"acarbose",100,"mg/kg",1,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"acarbose",300,"mg/kg",1,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"acarbose",1000,"mg/kg",1,"day","Kidneys","Weight",0.87,"Relative weight",0,"TG-GATEs"
"acetamidofluorene",100,"mg/kg",1,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"acetamidofluorene",300,"mg/kg",1,"day","Kidneys","Weight",0.88,"Relative weight",0,"TG-GATEs"
"acetamidofluorene",1000,"mg/kg",1,"day","Kidneys","Weight",0.81,"Relative weight",1,"TG-GATEs"
"acetaminophen",300,"mg/kg",1,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"acetaminophen",600,"mg/kg",1,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"acetaminophen",1000,"mg/kg",1,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"acetazolamide",60,"mg/kg",1,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"acetazolamide",200,"mg/kg",1,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"acetazolamide",600,"mg/kg",1,"day","Kidneys","Weight",0.86,"Relative weight",0,"TG-GATEs"
"adapin",100,"mg/kg",1,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"adapin",300,"mg/kg",1,"day","Kidneys","Weight",0.83,"Relative weight",1,"TG-GATEs"
"ajmaline",30,"mg/kg",1,"day","Kidneys","Weight",0.99,"Relative weight",1,"TG-GATEs"
"ajmaline",100,"mg/kg",1,"day","Kidneys","Weight",1.01,"Relative weight",1,"TG-GATEs"
"ajmaline",300,"mg/kg",1,"day","Kidneys","Weight",0.97,"Relative weight",1,"TG-GATEs"
"allyl alcohol",3,"mg/kg",1,"day","Kidneys","Weight",0.86,"Relative weight",0,"TG-GATEs"
"allyl alcohol",10,"mg/kg",1,"day","Kidneys","Weight",0.81,"Relative weight",1,"TG-GATEs"
"allyl alcohol",30,"mg/kg",1,"day","Kidneys","Weight",0.86,"Relative weight",0,"TG-GATEs"
"amiodarone",200,"mg/kg",1,"day","Kidneys","Weight",0.83,"Relative weight",1,"TG-GATEs"
"amiodarone",600,"mg/kg",1,"day","Kidneys","Weight",0.87,"Relative weight",0,"TG-GATEs"
"amiodarone",2000,"mg/kg",1,"day","Kidneys","Weight",0.81,"Relative weight",1,"TG-GATEs"
"amitriptyline",15,"mg/kg",1,"day","Kidneys","Weight",0.95,"Relative weight",0,"TG-GATEs"
"amitriptyline",50,"mg/kg",1,"day","Kidneys","Weight",0.87,"Relative weight",0,"TG-GATEs"
"amitriptyline",150,"mg/kg",1,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"aspirin",450,"mg/kg",1,"day","Kidneys","Weight",0.86,"Relative weight",0,"TG-GATEs"
"aspirin",1000,"mg/kg",1,"day","Kidneys","Weight",0.79,"Relative weight",1,"TG-GATEs"
"aspirin",2000,"mg/kg",1,"day","Kidneys","Weight",0.8,"Relative weight",1,"TG-GATEs"
"bendazac",100,"mg/kg",1,"day","Kidneys","Weight",1.01,"Relative weight",1,"TG-GATEs"
"bendazac",300,"mg/kg",1,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"bendazac",1000,"mg/kg",1,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"benzbromarone",20,"mg/kg",1,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"benzbromarone",60,"mg/kg",1,"day","Kidneys","Weight",0.94,"Relative weight",0,"TG-GATEs"
"benzbromarone",200,"mg/kg",1,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"benziodarone",30,"mg/kg",1,"day","Kidneys","Weight",0.94,"Relative weight",0,"TG-GATEs"
"benziodarone",100,"mg/kg",1,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"benziodarone",300,"mg/kg",1,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"bromobenzene",30,"mg/kg",1,"day","Kidneys","Weight",0.87,"Relative weight",0,"TG-GATEs"
"bromobenzene",100,"mg/kg",1,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"bromobenzene",300,"mg/kg",1,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"bucetin",300,"mg/kg",1,"day","Kidneys","Weight",0.84,"Relative weight",0,"TG-GATEs"
"bucetin",1000,"mg/kg",1,"day","Kidneys","Weight",0.88,"Relative weight",0,"TG-GATEs"
"bucetin",2000,"mg/kg",1,"day","Kidneys","Weight",0.84,"Relative weight",1,"TG-GATEs"
"caffeine",10,"mg/kg",1,"day","Kidneys","Weight",0.95,"Relative weight",0,"TG-GATEs"
"caffeine",30,"mg/kg",1,"day","Kidneys","Weight",0.87,"Relative weight",0,"TG-GATEs"
"caffeine",100,"mg/kg",1,"day","Kidneys","Weight",0.86,"Relative weight",0,"TG-GATEs"
"captopril",100,"mg/kg",1,"day","Kidneys","Weight",0.98,"Relative weight",1,"TG-GATEs"
"captopril",300,"mg/kg",1,"day","Kidneys","Weight",0.88,"Relative weight",0,"TG-GATEs"
"captopril",1000,"mg/kg",1,"day","Kidneys","Weight",0.94,"Relative weight",0,"TG-GATEs"
"carbamazepine",30,"mg/kg",1,"day","Kidneys","Weight",0.95,"Relative weight",0,"TG-GATEs"
"carbamazepine",100,"mg/kg",1,"day","Kidneys","Weight",0.95,"Relative weight",0,"TG-GATEs"
"carbamazepine",300,"mg/kg",1,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"carbon tetrachloride",30,"mg/kg",1,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"carbon tetrachloride",100,"mg/kg",1,"day","Kidneys","Weight",0.86,"Relative weight",0,"TG-GATEs"
"carbon tetrachloride",300,"mg/kg",1,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"chloramphenicol",100,"mg/kg",1,"day","Kidneys","Weight",0.86,"Relative weight",0,"TG-GATEs"
"chloramphenicol",300,"mg/kg",1,"day","Kidneys","Weight",0.87,"Relative weight",0,"TG-GATEs"
"chloramphenicol",1000,"mg/kg",1,"day","Kidneys","Weight",0.86,"Relative weight",0,"TG-GATEs"
"chlormadinone",300,"mg/kg",1,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"chlormadinone",1000,"mg/kg",1,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"chlormadinone",2000,"mg/kg",1,"day","Kidneys","Weight",0.87,"Relative weight",0,"TG-GATEs"
"chlormezanone",50,"mg/kg",1,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"chlormezanone",150,"mg/kg",1,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"chlormezanone",500,"mg/kg",1,"day","Kidneys","Weight",0.82,"Relative weight",1,"TG-GATEs"
"chlorpheniramine",3,"mg/kg",1,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"chlorpheniramine",10,"mg/kg",1,"day","Kidneys","Weight",0.85,"Relative weight",0,"TG-GATEs"
"chlorpheniramine",30,"mg/kg",1,"day","Kidneys","Weight",0.85,"Relative weight",0,"TG-GATEs"
"chlorpromazine",45,"mg/kg",1,"day","Kidneys","Weight",0.86,"Relative weight",0,"TG-GATEs"
"chlorpromazine",150,"mg/kg",1,"day","Kidneys","Weight",0.8,"Relative weight",1,"TG-GATEs"
"chlorpropamide",30,"mg/kg",1,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"chlorpropamide",100,"mg/kg",1,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"chlorpropamide",300,"mg/kg",1,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"ciprofloxacin",100,"mg/kg",1,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"ciprofloxacin",300,"mg/kg",1,"day","Kidneys","Weight",0.94,"Relative weight",0,"TG-GATEs"
"ciprofloxacin",1000,"mg/kg",1,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"clofibrate",30,"mg/kg",1,"day","Kidneys","Weight",0.87,"Relative weight",0,"TG-GATEs"
"clofibrate",100,"mg/kg",1,"day","Kidneys","Weight",0.85,"Relative weight",0,"TG-GATEs"
"clofibrate",300,"mg/kg",1,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"clomipramine",10,"mg/kg",1,"day","Kidneys","Weight",0.96,"Relative weight",0,"TG-GATEs"
"clomipramine",30,"mg/kg",1,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"clomipramine",100,"mg/kg",1,"day","Kidneys","Weight",0.85,"Relative weight",0,"TG-GATEs"
"colchicine",2,"mg/kg",1,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"colchicine",5,"mg/kg",1,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"colchicine",15,"mg/kg",1,"day","Kidneys","Weight",0.88,"Relative weight",0,"TG-GATEs"
"coumarin",15,"mg/kg",1,"day","Kidneys","Weight",0.94,"Relative weight",0,"TG-GATEs"
"coumarin",50,"mg/kg",1,"day","Kidneys","Weight",0.97,"Relative weight",1,"TG-GATEs"
"coumarin",150,"mg/kg",1,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"cyclophosphamide",2,"mg/kg",1,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"cyclophosphamide",5,"mg/kg",1,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"cyclophosphamide",15,"mg/kg",1,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"cyclophosphamide",15,"mg/kg",1,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"cyclophosphamide",50,"mg/kg",1,"day","Kidneys","Weight",0.88,"Relative weight",0,"TG-GATEs"
"cyclophosphamide",150,"mg/kg",1,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"cyclosporine A",30,"mg/kg",1,"day","Kidneys","Weight",0.86,"Relative weight",0,"TG-GATEs"
"cyclosporine A",100,"mg/kg",1,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"cyclosporine A",300,"mg/kg",1,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"danazol",300,"mg/kg",1,"day","Kidneys","Weight",0.95,"Relative weight",0,"TG-GATEs"
"danazol",1000,"mg/kg",1,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"danazol",2000,"mg/kg",1,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"dantrolene",25,"mg/kg",1,"day","Kidneys","Weight",0.97,"Relative weight",1,"TG-GATEs"
"dantrolene",75,"mg/kg",1,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"dantrolene",250,"mg/kg",1,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"diazepam",25,"mg/kg",1,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"diazepam",75,"mg/kg",1,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"diazepam",250,"mg/kg",1,"day","Kidneys","Weight",0.96,"Relative weight",0,"TG-GATEs"
"diclofenac",10,"mg/kg",1,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"diclofenac",30,"mg/kg",1,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"diclofenac",100,"mg/kg",1,"day","Kidneys","Weight",0.87,"Relative weight",0,"TG-GATEs"
"diltiazem",80,"mg/kg",1,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"diltiazem",240,"mg/kg",1,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"diltiazem",800,"mg/kg",1,"day","Kidneys","Weight",0.88,"Relative weight",0,"TG-GATEs"
"disopyramide",40,"mg/kg",1,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"disopyramide",120,"mg/kg",1,"day","Kidneys","Weight",0.94,"Relative weight",0,"TG-GATEs"
"disopyramide",400,"mg/kg",1,"day","Kidneys","Weight",0.88,"Relative weight",0,"TG-GATEs"
"disulfiram",60,"mg/kg",1,"day","Kidneys","Weight",0.84,"Relative weight",1,"TG-GATEs"
"disulfiram",200,"mg/kg",1,"day","Kidneys","Weight",0.88,"Relative weight",0,"TG-GATEs"
"disulfiram",600,"mg/kg",1,"day","Kidneys","Weight",0.86,"Relative weight",0,"TG-GATEs"
"enalapril",60,"mg/kg",1,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"enalapril",200,"mg/kg",1,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"enalapril",600,"mg/kg",1,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"erythromycin ethylsuccinate",100,"mg/kg",1,"day","Kidneys","Weight",0.87,"Relative weight",0,"TG-GATEs"
"erythromycin ethylsuccinate",300,"mg/kg",1,"day","Kidneys","Weight",0.94,"Relative weight",0,"TG-GATEs"
"erythromycin ethylsuccinate",1000,"mg/kg",1,"day","Kidneys","Weight",0.87,"Relative weight",0,"TG-GATEs"
"ethambutol",100,"mg/kg",1,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"ethambutol",300,"mg/kg",1,"day","Kidneys","Weight",0.97,"Relative weight",1,"TG-GATEs"
"ethambutol",1000,"mg/kg",1,"day","Kidneys","Weight",0.87,"Relative weight",0,"TG-GATEs"
"ethanol",400,"mg/kg",1,"day","Kidneys","Weight",0.97,"Relative weight",1,"TG-GATEs"
"ethanol",1200,"mg/kg",1,"day","Kidneys","Weight",0.96,"Relative weight",0,"TG-GATEs"
"ethanol",4000,"mg/kg",1,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"ethinylestradiol",1,"mg/kg",1,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"ethinylestradiol",3,"mg/kg",1,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"ethinylestradiol",10,"mg/kg",1,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"ethionamide",100,"mg/kg",1,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"ethionamide",300,"mg/kg",1,"day","Kidneys","Weight",0.96,"Relative weight",0,"TG-GATEs"
"ethionamide",1000,"mg/kg",1,"day","Kidneys","Weight",0.86,"Relative weight",0,"TG-GATEs"
"ethionine",25,"mg/kg",1,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"ethionine",80,"mg/kg",1,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"ethionine",250,"mg/kg",1,"day","Kidneys","Weight",0.85,"Relative weight",0,"TG-GATEs"
"etoposide",10,"mg/kg",1,"day","Kidneys","Weight",0.98,"Relative weight",1,"TG-GATEs"
"etoposide",100,"mg/kg",1,"day","Kidneys","Weight",1.01,"Relative weight",1,"TG-GATEs"
"etoposide",1000,"mg/kg",1,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"famotidine",100,"mg/kg",1,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"famotidine",300,"mg/kg",1,"day","Kidneys","Weight",0.88,"Relative weight",0,"TG-GATEs"
"famotidine",1000,"mg/kg",1,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"fenofibrate",10,"mg/kg",1,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"fenofibrate",100,"mg/kg",1,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"fenofibrate",1000,"mg/kg",1,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"fluoxetine hydrochloride",3,"mg/kg",1,"day","Kidneys","Weight",0.93,"Relative weight",0,"TG-GATEs"
"fluoxetine hydrochloride",10,"mg/kg",1,"day","Kidneys","Weight",0.88,"Relative weight",0,"TG-GATEs"
"fluoxetine hydrochloride",30,"mg/kg",1,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"fluphenazine",2,"mg/kg",1,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
"fluphenazine",6,"mg/kg",1,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"fluphenazine",20,"mg/kg",1,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"flutamide",15,"mg/kg",1,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"flutamide",50,"mg/kg",1,"day","Kidneys","Weight",0.85,"Relative weight",0,"TG-GATEs"
"flutamide",150,"mg/kg",1,"day","Kidneys","Weight",0.84,"Relative weight",1,"TG-GATEs"
"furosemide",30,"mg/kg",1,"day","Kidneys","Weight",0.94,"Relative weight",0,"TG-GATEs"
"furosemide",100,"mg/kg",1,"day","Kidneys","Weight",0.89,"Relative weight",0,"TG-GATEs"
"furosemide",300,"mg/kg",1,"day","Kidneys","Weight",0.94,"Relative weight",0,"TG-GATEs"
"gemfibrozil",30,"mg/kg",1,"day","Kidneys","Weight",0.85,"Relative weight",0,"TG-GATEs"
"gemfibrozil",100,"mg/kg",1,"day","Kidneys","Weight",0.8,"Relative weight",1,"TG-GATEs"
"gemfibrozil",300,"mg/kg",1,"day","Kidneys","Weight",0.92,"Relative weight",0,"TG-GATEs"
"glibenclamide",100,"mg/kg",1,"day","Kidneys","Weight",0.84,"Relative weight",1,"TG-GATEs"
"glibenclamide",300,"mg/kg",1,"day","Kidneys","Weight",0.87,"Relative weight",0,"TG-GATEs"
"glibenclamide",1000,"mg/kg",1,"day","Kidneys","Weight",0.86,"Relative weight",0,"TG-GATEs"
"griseofulvin",100,"mg/kg",1,"day","Kidneys","Weight",0.9,"Relative weight",0,"TG-GATEs"
"griseofulvin",300,"mg/kg",1,"day","Kidneys","Weight",0.87,"Relative weight",0,"TG-GATEs"
"griseofulvin",1000,"mg/kg",1,"day","Kidneys","Weight",0.97,"Relative weight",1,"TG-GATEs"
"haloperidol",3,"mg/kg",1,"day","Kidneys","Weight",0.96,"Relative weight",0,"TG-GATEs"
"haloperidol",10,"mg/kg",1,"day","Kidneys","Weight",0.91,"Relative weight",0,"TG-GATEs"
